file,transcription
GV1jUdzu2FM_030.wav,2010 the lat present tatame house yeah interview no yɛ because merebɛkaa sɛ no sika a metua ama aban no ama seventy wordt of mention adɛn na trans obi sisi me but me yɛ ghanani deɛ the number one gentleman of the land pɛ na me feel sɛ ɔbɛtumi aka masɛm ama me sɛ ɔboa me kumfaa me kɔ hmm nti me fight the customer me
iEcjfQh1G0U_013.wav,na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ
1u4Dmwoh04U_030.wav,ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da
P74kzqm2nno_035.wav,ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because
dwepemPuBwA_049.wav,ɛbɛ hyɛ ɔmo nkuran esiane sɛ pollination aba abɛsu ghana sin paa ama yɛ cocoa ɛrekɔso ayekoo amen agya mema ei mepawokyɛw wo din ɛne adwuma a ɔyɛ yoo yɛfrɛ me clemente yammoa meyɛ cocoa adwuma na mesan ayɛ account hɔ
eFrIBYoHo8Q_050.wav,dɛn one for life na adɛn na heart ɛna mofaeɛ yes ɛɛ one for life no deɛ ɛyɛ akoma because yɛhwehwɛɛ mu ara ɛyɛ me sɛ ɔpɛ mpaninfoɔ company no bɔɔl no ɛtenase ɛhefa ɛna ɛba societal leader yɛbɛtumi complain sɛ daabi akoma yɛyɛ no sɛ
gjGJKVT_FlY_005.wav,tete wo tia meyɛ plan breeder na ɛberɛ biara no yɛ adwuma no deɛ yɛyɛ no sɛ yɛ ne akuafoɔ ɛne ɔmo a ɔmo de nkate a ɛyɛ ɔmo adwuma ebia ɔmo a ɔmo tɔn ne ɔmo a ɔmo de ɛyɛ nnuane ahodoɔ ɛdi nsa wɔ soɔ ɛbisa yɛ creative variation bebree na y'aseleksi
IgXzpxIFx9c_075.wav,utv ahwɛfoɔ ɛnɛ aha na yɛde a yɛkɔ adwumadie no yɛsi na mmom ɛba ɛpo kɔ
znxVf5TuXyg_020.wav,wobɛtumi anya bi atɔ sɛdeɛn ka kyerɛ wo no sɛ interview wei akɔ akɔyɛ afebɔɔ kakra esiane sɛ 24 ɛkɔ n'awieeɛ no na utv a ɛkɔ dwuma deɛ ɛyɛ interview nti wo wura 2021 season no mu na wopɛ seedni bi adua still wokɔyɛ youtube page
TQQ8_jJ3xz4_044.wav,yi na afei na mepɛ agyapadeɛ mennim me papa okay me papa na ɔwɔ asante region kɔkɔɔ okay enti owu wɔ hɔ no ɛna ɔmo sɛ adeɛ a costri mu yɛwoo me hɔ na yɛde me kɔɔ siri mu mekɔtena hɔ ara na brɛboɔ no nkɔ yie me ne me mmɔre no yɛ brɛ ɛna mesan ba asanteni afei na wanya mfeɛ sɛn because deɛ
BCXDMxlb4T8_019.wav,woba nso a wonya bi tɔ hwɛ wohwɛfoɔ yi afoforɔ na ɛda ha yi dada yi da hɔ na wafuo bɛyɛ 800 mmɔdenbɔ sɛbe abansoro yase ɛyɛ yɛn ara nti menfa saa akwanya nso akyerɛ me nuanom a ɛhɔ ara ama no ne no a obi wɔ hɔ
8jU1u1_j4CA_006.wav,who are responsibility no by joining us short notice mema mo afihwa pa declare this meeting open
W1ru6MsgbiQ_050.wav,sɛ anka ɛyɛ wasoma bɛka akyerɛ ghanafoɔ titiriw ne mmabunu no ɔyɛ adwuma ho yoo deɛ mɛka akyerɛ titiriw ɛwɔ mmabunu ho sɛ kwa adwuma na yɛmfa no sɛ tete hɔ no sɛbi yɛse yɛkɔ school no yi yɛn time no deɛ nanka woyɛ bɔne ama
RbHJKc1JFjY_012.wav,na mehunu sɛ na ɛwɔ fam na ɛwɔ fam paa enti yɛnhwɛ afei yɛmmra na twa so yɛtwa awie ɛɛ yɛ sɛdeɛ bɔhyɛ no si teɛ sɛ yɛbɛ dua bɔɔdeɛ na yɛdua cocoa ne adeɛ no yɛwieeɛ no ɛwɔ mu sɛ aban no so ɔdɔ aseɛ afa apaafoɔ adwuma wafa apaafoɔ ama ɔmo adua
5hhQyY-pb74_026.wav,kokoo no mu yie ɛba saa nso a ano no ɛha wo bebree ɛba saafoɔ yi afɔrtilize akwadaa na wobɛbɔ a esiane sɛ ahaban no yɛ bebree nti no wontumi nnya nsunsuansoɔ papa wɔ mu enti pruni no deɛ ɛyɛ adeɛ bi akuani biara afe biara at least yɛnhwɛ sɛ na
TOgNRwKRtpc_004.wav,nnua aboa na nsuo atumi atɔ ama yɛn atwetwe nkɔmɔ no nyinaa yɛ kuadwuma no bi yɛn ho mmra eeiii abusuafoɔ mo akwaaba ɛɛ yɛne panin no ɛbɛtwetwe nkɔmɔ agya
VE85xkjZFA4_032.wav,ahaa mate sɛ lot more farmers hɔ nso wontu kama ni enjoy na saa site wei a ɔmo ɛyɛ specific production
pRSmRcKj_rA_038.wav,mo nom nsuo paa nti no ɔnni nyinaa nsuo ɛyɛ nsuo ɛyɛ nsuo nti no wobɛhunu sɛ na emofo rolling so no yɛbisa sɛ ɔmo di afra ɛbaa ne barima na yɛhu ɔmo wɔ ha yi anaasɛ ɛyɛ mmaa nkoaa mmarima nkoa yɛka sɛ broiler a ɛyɛ brilaa okay yɛnhwɛ ɔmo abɛduru ha yi but yɛ hu sɛ ayɛ sɛ wohwɛ nkokɔ nkae
RKSv6F26pc8_011.wav,this year nana yɛpɛ sɛ wei aban ɛne development part no obiara hunu sɛ wei women with abilities no bebree naa ɛboa to provide nutrition mo kɔeɛ no deɛ bɛn ne deɛbɛyɛ no deɛ bɛn na ɔmo yɛ western region nim sɛ cocoa adwuma ahodoɔ bɛn so na yɛnuanom mmaa yi ɛreyɛ a sɛbe ɛbi mo adi dɛm so ɔmo de aduane bɛsi yɛ tables yoo this year four yɛɛ golde
