file_name,original_twi,translated_english
P74kzqm2nno_035.wav,ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because,"They will clear the land, they will give us cocoa seedlings and we will plant them, and they will give us plantains, so they will do the layout and pegging lines; the spacing will be about 10 feet by 10 feet. When we finish that, we will give you the cocoa, and you place it next to the plantains. But actually, I haven't planted it yet because..."
1u4Dmwoh04U_030.wav,ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da,"Regarding the cocoa, it has become a matter of discussion. The work you demonstrated, where you reached the point of using a cup and such for irrigation—that is what we first wanted to find out: how things are when you do the work and it thrives, and about the attachments and all that, because there is a reason."
GV1jUdzu2FM_030.wav,2010 the lat present tatame house yeah interview no yɛ because merebɛkaa sɛ no sika a metua ama aban no ama seventy wordt of mention adɛn na trans obi sisi me but me yɛ ghanani deɛ the number one gentleman of the land pɛ na me feel sɛ ɔbɛtumi aka masɛm ama me sɛ ɔboa me kumfaa me kɔ hmm nti me fight the customer me,"In 2010 at the house, yeah, the interview took place because I was coming to say that the money I paid to the government amounted to seventy... why did someone cheat me in the transaction? But as a Ghanaian, I feel that only the number one gentleman of the land can speak on my behalf to help me and take me forward. Hmm, so I fought the customer."
iEcjfQh1G0U_013.wav,na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ,"And the transport officer, okay, and the work I was doing, I was also doing side hustles along with it. And the white man for the job said I was just doing it to pass time. Oh okay, what we would call a hall, so it's not like I went to a specific school to study it, or that I was studying it; they all just do it."
dwepemPuBwA_049.wav,ɛbɛ hyɛ ɔmo nkuran esiane sɛ pollination aba abɛsu ghana sin paa ama yɛ cocoa ɛrekɔso ayekoo amen agya mema ei mepawokyɛw wo din ɛne adwuma a ɔyɛ yoo yɛfrɛ me clemente yammoa meyɛ cocoa adwuma na mesan ayɛ account hɔ,"It will encourage them because pollination has spread throughout Ghana and boosted our cocoa. Well done. Amen, Father, I send greetings. Please, what is your name and the work you do? It is good. My name is Clemente Yammoa; I am a cocoa farmer, and I also have an account there."
eFrIBYoHo8Q_050.wav,dɛn one for life na adɛn na heart ɛna mofaeɛ yes ɛɛ one for life no deɛ ɛyɛ akoma because yɛhwehwɛɛ mu ara ɛyɛ me sɛ ɔpɛ mpaninfoɔ company no bɔɔl no ɛtenase ɛhefa ɛna ɛba societal leader yɛbɛtumi complain sɛ daabi akoma yɛyɛ no sɛ,"What is ""one for life"" and why the heart? And you chose yes, as for ""one for life,"" it is about the heart, because upon looking into it, it seems to me that he wants the company of elders. Where does the ball sit, and then it becomes a ""societal leader""? We can complain that no, the heart, we do it like..."
znxVf5TuXyg_020.wav,wobɛtumi anya bi atɔ sɛdeɛn ka kyerɛ wo no sɛ interview wei akɔ akɔyɛ afebɔɔ kakra esiane sɛ 24 ɛkɔ n'awieeɛ no na utv a ɛkɔ dwuma deɛ ɛyɛ interview nti wo wura 2021 season no mu na wopɛ seedni bi adua still wokɔyɛ youtube page,"You will be able to get some to buy, as I told you, that this interview has been going on for a little while because '24 is coming to an end, and since the UTV that is operating is doing an interview, you entered the 2021 season and wanted to plant some seeds, yet you are still running a YouTube page."
gjGJKVT_FlY_005.wav,tete wo tia meyɛ plan breeder na ɛberɛ biara no yɛ adwuma no deɛ yɛyɛ no sɛ yɛ ne akuafoɔ ɛne ɔmo a ɔmo de nkate a ɛyɛ ɔmo adwuma ebia ɔmo a ɔmo tɔn ne ɔmo a ɔmo de ɛyɛ nnuane ahodoɔ ɛdi nsa wɔ soɔ ɛbisa yɛ creative variation bebree na y'aseleksi,"I am a plant breeder, and whenever we do this work, we collaborate with farmers and those who work with groundnuts, perhaps those who sell them and those who use them to make various food products; it requires us to have many creative variations, and we make a selection."
IgXzpxIFx9c_075.wav,utv ahwɛfoɔ ɛnɛ aha na yɛde a yɛkɔ adwumadie no yɛsi na mmom ɛba ɛpo kɔ,"UTV viewers, this is where we bring our work to an end for today."
TQQ8_jJ3xz4_044.wav,yi na afei na mepɛ agyapadeɛ mennim me papa okay me papa na ɔwɔ asante region kɔkɔɔ okay enti owu wɔ hɔ no ɛna ɔmo sɛ adeɛ a costri mu yɛwoo me hɔ na yɛde me kɔɔ siri mu mekɔtena hɔ ara na brɛboɔ no nkɔ yie me ne me mmɔre no yɛ brɛ ɛna mesan ba asanteni afei na wanya mfeɛ sɛn because deɛ,"And now I want my inheritance. I don't know my father, okay? My father is in the Asante region, indeed. So when there was a death there, they said that in the country where I was born, they took me to the city. I went to live there and life was not going well; my family and I were struggling, and then I returned as an Asante. Now how old are you, because..."
8jU1u1_j4CA_006.wav,who are responsibility no by joining us short notice mema mo afihwa pa declare this meeting open,"To those who are responsible, thank you for joining us on short notice. I wish you a happy New Year and declare this meeting open."
W1ru6MsgbiQ_050.wav,sɛ anka ɛyɛ wasoma bɛka akyerɛ ghanafoɔ titiriw ne mmabunu no ɔyɛ adwuma ho yoo deɛ mɛka akyerɛ titiriw ɛwɔ mmabunu ho sɛ kwa adwuma na yɛmfa no sɛ tete hɔ no sɛbi yɛse yɛkɔ school no yi yɛn time no deɛ nanka woyɛ bɔne ama,"If I were to tell Ghanaians, particularly the youth, about work—what I would specifically tell the youth is that we should not treat work as trivial like in the old days. With all due respect, the way we talk about going to school now; in our time, you would be doing yourself a disservice."
