question,answer,category,source_text,original_twi,file_name
Why is it important to space my cocoa trees 10 feet by 10 feet apart?,"Proper spacing ensures each tree gets enough sunlight, soil nutrients, and airflow. Planting them 10 feet by 10 feet prevents overcrowding, reduces the spread of diseases, and gives cocoa plants room to yield healthy pods.",Field Setup & Layout,"They will clear the land, they will give us cocoa seedlings and we will plant them, and they will give us plantains, so they will do the layout and pegging lines; the spacing will be about 10 feet by 10 feet. When we finish that, we will give you the cocoa, and you place it next to the plantains. But actually, I haven't planted it yet because...",ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because,P74kzqm2nno_035.wav
"What is pegging, and why is it done on my farmland before planting?","Pegging involves placing wooden sticks in the ground to mark the exact spots where crops should be planted. It helps keep your farm rows straight and evenly spaced, making weeding, spraying, and harvesting much easier later on.",Field Setup & Layout,"They will clear the land, they will give us cocoa seedlings and we will plant them, and they will give us plantains, so they will do the layout and pegging lines; the spacing will be about 10 feet by 10 feet. When we finish that, we will give you the cocoa, and you place it next to the plantains. But actually, I haven't planted it yet because...",ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because,P74kzqm2nno_035.wav
Why do we plant crops in straight lines instead of placing them randomly across the farm?,"Planting in straight lines ensures that every crop gets equal room and light, prevents overcrowding, and allows you to walk through the farm easily to carry out maintenance without damaging young plants.",Field Setup & Layout,"They will clear the land, they will give us cocoa seedlings and we will plant them, and they will give us plantains, so they will do the layout and pegging lines; the spacing will be about 10 feet by 10 feet. When we finish that, we will give you the cocoa, and you place it next to the plantains. But actually, I haven't planted it yet because...",ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because,P74kzqm2nno_035.wav
Why must I clear my land completely before planting new cocoa seedlings?,"Clearing weeds, bushes, and heavy debris removes competition for soil nutrients and water, while also eliminating pests and diseases that could attack delicate young cocoa plants.",Field Setup & Layout,"They will clear the land, they will give us cocoa seedlings and we will plant them, and they will give us plantains, so they will do the layout and pegging lines; the spacing will be about 10 feet by 10 feet. When we finish that, we will give you the cocoa, and you place it next to the plantains. But actually, I haven't planted it yet because...",ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because,P74kzqm2nno_035.wav
Why do I need to plant plantains next to my new cocoa trees?,"Young cocoa trees burn easily under direct sunlight. Plantains grow quickly with large leaves that act as natural umbrellas, providing the shade and soil moisture young cocoa needs to survive its first couple of years.",Shade & Intercropping,"They will clear the land, they will give us cocoa seedlings and we will plant them, and they will give us plantains, so they will do the layout and pegging lines; the spacing will be about 10 feet by 10 feet. When we finish that, we will give you the cocoa, and you place it next to the plantains. But actually, I haven't planted it yet because...",ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because,P74kzqm2nno_035.wav
Should I plant my plantains before or at the same time as my cocoa seedlings?,It is best to plant plantains slightly before or at the same time as cocoa so that the plantain leaves can grow fast enough to provide protective shade before hot weather damages the young cocoa.,Shade & Intercropping,"They will clear the land, they will give us cocoa seedlings and we will plant them, and they will give us plantains, so they will do the layout and pegging lines; the spacing will be about 10 feet by 10 feet. When we finish that, we will give you the cocoa, and you place it next to the plantains. But actually, I haven't planted it yet because...",ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because,P74kzqm2nno_035.wav
Will planting plantains next to my cocoa steal nutrients away from the cocoa?,"No, when spaced correctly, plantains and cocoa share the soil well. The plantains protect the cocoa from harsh weather and provide early food and income for your family before the cocoa begins to produce.",Shade & Intercropping,"They will clear the land, they will give us cocoa seedlings and we will plant them, and they will give us plantains, so they will do the layout and pegging lines; the spacing will be about 10 feet by 10 feet. When we finish that, we will give you the cocoa, and you place it next to the plantains. But actually, I haven't planted it yet because...",ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because,P74kzqm2nno_035.wav
How do young cocoa leaves react if they get too much direct sunlight?,"Young cocoa leaves exposed to harsh sun turn yellow, dry out at the edges, and drop off early because the young roots cannot draw enough water to replace what the hot sun burns away.",Crop Behavior & Plant Health,"They will clear the land, they will give us cocoa seedlings and we will plant them, and they will give us plantains, so they will do the layout and pegging lines; the spacing will be about 10 feet by 10 feet. When we finish that, we will give you the cocoa, and you place it next to the plantains. But actually, I haven't planted it yet because...",ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because,P74kzqm2nno_035.wav
What happens if I delay and leave cocoa seedlings in their nursery bags for too long?,"Leaving seedlings too long in nursery bags causes their roots to twist, coil, or dry out, which weakens the plant and makes it difficult for it to establish strong roots once planted in the farm.",Crop Behavior & Plant Health,"They will clear the land, they will give us cocoa seedlings and we will plant them, and they will give us plantains, so they will do the layout and pegging lines; the spacing will be about 10 feet by 10 feet. When we finish that, we will give you the cocoa, and you place it next to the plantains. But actually, I haven't planted it yet because...",ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because,P74kzqm2nno_035.wav
Why do young cocoa plants die so easily during the dry season in Ghana?,"Young cocoa trees have short, shallow roots that cannot reach water deep underground. Without temporary shade crops like plantains to hold soil moisture, intense sun rapidly dehydrates and kills the plants.",Crop Behavior & Plant Health,"They will clear the land, they will give us cocoa seedlings and we will plant them, and they will give us plantains, so they will do the layout and pegging lines; the spacing will be about 10 feet by 10 feet. When we finish that, we will give you the cocoa, and you place it next to the plantains. But actually, I haven't planted it yet because...",ɔmo bɛ twaa ɔmo bɛma yɛ cocoa nurse na yɛde adua na ɔmo ama yɛn borɔdeɛ nti ɔmo bɛyɛ lie and pergen line mpɛ no bɛyɛ 10 feet 10 feet no yɛ wie a na yɛama wo cocoa na ɔde asi borɔdeɛ no nkyɛn enti mmom deɛ manya nto because,P74kzqm2nno_035.wav
